seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
3181592,117,57,1,103,0.013269663,0,8,0.369373798
336678,38,118,1,33,0.003280401,1,33,0.039417744
5983260,53,59,0,24,0.003754377,1,26,0.016070366
7484705,118,51,1,55,0.007374048,1,56,0.41571641
1684342,89,91,0,23,0.00515008,1,27,0.023504019
9130421,112,63,1,14,0.002057314,1,14,0.005951166
1875179,82,103,1,21,0.003650188,1,21,0.02731657
249923,119,48,1,15,0.001963377,1,15,0.009997129
9005155,90,74,1,5,0.000648022,1,5,0.000884771
8236115,116,83,1,15,0.002747297,1,15,0.007291317
1492908,54,91,0,3,0.000430107,0,1,0.006517887
6855812,75,83,1,37,0.006517887,1,37,0.099781036
8975887,91,72,1,44,0.005570889,1,44,0.05710578
553058,92,46,1,78,0.009166479,1,66,0.181003094
4608251,96,52,1,118,0.015117168,1,40,0.062781572
4123745,49,34,1,16,0.001888037,1,16,0.008148193
2487134,120,48,1,115,0.01270628,0,59,0.913419962
3743869,115,52,1,104,0.013323069,0,8,0.67830205
7748913,68,35,1,21,0.002250671,1,21,0.014677763
7123384,50,111,1,140,0.017028093,0,67,0.582011461
4275638,36,115,1,70,0.006928682,1,70,0.598270416
2765341,113,78,1,37,0.00694108,0,3,0.005444288
3752305,46,127,1,37,0.003906965,0,12,0.107917309
7772896,79,63,1,14,0.001759052,1,14,0.007448912
8363883,63,33,1,14,0.001639843,1,14,0.005944967
2198416,115,93,1,113,0.022881508,0,26,0.367534399
2676814,107,64,1,37,0.00611639,1,30,0.043938875
7634937,103,70,1,40,0.006507158,1,38,0.056736946
8025861,92,102,1,69,0.013196707,0,19,0.218794346
6822311,56,54,1,45,0.007532835,0,5,0.025098801
8529838,119,90,1,80,0.017329931,0,1,0.013415098
496344,38,59,1,32,0.00358367,1,27,0.048056126
883382,35,116,1,36,0.003904104,1,36,0.070872545
7259131,120,82,1,83,0.012975693,0,31,1.266168594
9796003,49,91,1,42,0.004998207,1,42,0.177629471
8493205,128,75,1,52,0.008187771,1,61,0.420073509
7924554,63,32,1,28,0.003247738,1,28,0.031317711
8028037,34,48,1,27,0.003390551,1,27,0.014629841
3612895,61,105,1,33,0.004775524,1,33,0.051284075
6391647,78,35,1,8,0.000842094,1,8,0.002199173
2048592,64,34,1,15,0.001851797,0,1,0.001608849
7070780,73,58,1,39,0.005091667,0,20,0.045836687
1362280,107,113,0,300,0.062296152,0,53,0.722908258
6411517,74,116,1,27,0.00381875,1,27,0.017769337
6119375,114,43,1,35,0.003962517,1,35,0.08003974
2856665,115,52,1,76,0.010218859,0,41,0.41513586
8763733,32,42,1,20,0.002514362,1,21,0.01727891
4667332,33,106,1,43,0.004681587,1,41,0.187571526
775451,102,119,1,85,0.015788794,0,16,0.178526878
4267876,80,113,1,92,0.015955448,0,27,0.783614397
3440304,87,74,1,20,0.003493547,1,17,0.005309105
9724347,82,34,1,20,0.002513647,1,20,0.014089823
7778104,33,50,1,32,0.007303238,1,18,0.010281801
7489139,120,108,1,68,0.017598629,0,45,0.542789698
1986477,81,122,1,197,0.027464628,0,19,0.141697884
6890402,38,43,1,16,0.002212524,1,19,0.016451359
2517684,106,85,1,78,0.013266563,0,35,0.58511591
1387113,79,96,1,84,0.015160799,1,70,0.207268953
6232573,66,76,1,46,0.005800962,1,42,0.179786682
8345193,104,80,1,12,0.002148867,1,12,0.006042242
5939103,123,95,0,26,0.003828049,0,26,0.016407728
