seed,width,height,rl_success,rl_steps,rl_time,astar_success,astar_steps,astar_time
3642701,87,58,1,31,0.005101442,1,23,0.037501812
3388245,127,41,1,54,0.006575108,1,51,0.361750126
3076999,90,94,1,167,0.037502766,0,28,0.796551228
8331979,46,125,1,68,0.008407831,1,68,0.499222279
3782250,34,52,1,8,0.000809669,1,8,0.002009869
8262259,77,40,1,13,0.001454115,1,12,0.003798246
2265659,106,104,1,25,0.004998684,0,13,0.010807753
9804704,105,125,1,27,0.007351398,0,4,0.007807016
9649136,108,36,0,0,0,0,0,0
3765679,55,104,1,126,0.01432538,1,67,0.378619671
4314732,122,44,1,35,0.003817797,1,35,0.041977644
2306125,76,51,1,60,0.006816864,0,10,0.012856245
3239748,74,80,1,106,0.017910719,0,6,0.137749195
3089014,37,65,1,34,0.003886461,1,34,0.050641775
6822345,108,71,1,94,0.012489557,0,27,1.717680216
7262928,118,37,1,32,0.003154278,1,32,0.0649786
1079337,81,116,1,127,0.021413088,1,106,1.07440424
7269834,98,79,0,51,0.008626938,0,30,0.158232689
8116609,72,104,1,59,0.009187698,0,35,0.514063597
2770252,68,68,1,45,0.006762743,1,41,0.124001026
792803,81,119,1,72,0.012670755,1,57,0.283916235
2904234,84,117,1,108,0.018656254,0,19,0.201945305
6213633,65,32,1,36,0.003866911,1,36,0.089651346
940344,120,58,1,27,0.003145933,1,27,0.053555489
6545968,54,36,1,40,0.004366159,1,40,0.113088846
4664520,110,128,1,67,0.015639544,0,8,0.21649003
1852192,118,55,1,141,0.021865129,0,108,1.231072903
1568204,93,79,1,55,0.007997274,0,11,0.031273842
2915045,46,40,0,18,0.011597395,1,22,0.029006958
3646798,79,82,1,54,0.008954525,1,54,0.37091732
575151,38,70,1,57,0.005851984,0,12,0.252319574
2647832,104,37,1,6,0.000760078,1,6,0.000965834
4161178,97,52,1,58,0.006921053,1,54,0.431111574
4517627,54,71,1,48,0.005449772,1,45,0.171328545
4917849,43,121,1,284,0.029076576,0,20,1.156448126
6010844,112,91,1,48,0.007811546,1,41,0.099109888
7396966,43,124,1,12,0.001705647,1,12,0.004421949
1416039,47,34,1,39,0.005475521,1,34,0.092243433
1847817,104,94,1,40,0.006765604,1,39,0.08429122
5116891,109,59,0,0,0,0,0,0
7344953,101,112,1,82,0.013765812,0,37,0.498047113
2749435,80,55,1,23,0.002536058,1,23,0.020646334
5093791,106,79,1,72,0.012012959,0,21,0.255441904
9952558,57,105,1,47,0.006867647,1,45,0.226248026
1435260,58,71,1,22,0.003590345,0,7,0.029325724
806970,108,107,1,49,0.011229992,1,47,0.070652246
7782863,67,39,1,14,0.00159359,1,14,0.010200262
3315921,62,32,1,32,0.003805161,1,28,0.071906328
1887600,92,105,1,60,0.009970665,1,62,0.474972486
